timestamp,algorithm,node_count,avg_tps,avg_latency_ms,cpu_usage_percent,memory_usage_mb,energy_consumption,throughput,success_rate,total_transactions
2026-05-18T21:59:11+03:00,PBFT,4,5.00,100.00,5.00,50.00,5.52,5.00,1.00,35
2026-05-18T21:59:13+03:00,PBFT,4,5.00,100.00,5.00,50.00,5.84,5.00,1.00,45
2026-05-18T21:59:15+03:00,PBFT,4,5.00,100.00,5.00,50.00,6.16,5.00,1.00,55
2026-05-18T21:59:17+03:00,PBFT,4,5.00,100.00,5.00,50.00,6.48,5.00,1.00,65
2026-05-18T21:59:19+03:00,PBFT,4,5.00,100.00,5.00,50.00,6.80,5.00,1.00,75
2026-05-18T21:59:21+03:00,PBFT,4,5.00,100.00,5.00,50.00,7.12,5.00,1.00,85
2026-05-18T21:59:23+03:00,PBFT,4,5.00,100.00,5.00,50.00,7.44,5.00,1.00,95
