timestamp,algorithm,node_count,avg_tps,avg_latency_ms,cpu_usage_percent,memory_usage_mb,energy_consumption,throughput,success_rate,total_transactions
2026-05-18T21:59:11+03:00,Hybrid,4,4.86,130.88,11.46,3.72,5.26,4.86,0.97,35
2026-05-18T21:59:13+03:00,Hybrid,4,4.89,130.11,11.52,4.19,5.48,4.89,0.98,45
2026-05-18T21:59:15+03:00,Hybrid,4,4.91,126.94,12.15,4.65,5.74,4.91,0.98,55
2026-05-18T21:59:17+03:00,Hybrid,4,4.85,129.13,12.01,4.90,5.95,4.85,0.97,65
2026-05-18T21:59:19+03:00,Hybrid,4,4.93,149.89,12.48,5.93,6.18,4.93,0.99,75
2026-05-18T21:59:21+03:00,Hybrid,4,4.94,148.71,12.82,7.37,6.44,4.94,0.99,85
2026-05-18T21:59:23+03:00,Hybrid,4,4.95,148.37,13.23,8.09,6.68,4.95,0.99,95
